rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2953,g_10166927_4918,-0.102202,-0.529914,7.952811,9.598961,-15.888176,5.83562
2963,g_10166927_4918,-0.12941,-0.519711,7.963014,10.228961,-15.608175,6.11562
2972,g_10166927_4918,-0.119693,-0.526513,7.951354,11.628961,-17.358175,6.045619
2982,g_10166927_4918,-0.118235,-0.533315,7.965443,11.418961,-16.168177,5.90562
2992,g_10166927_4918,-0.136697,-0.513881,7.977103,9.178961,-15.888176,6.32562
3002,g_10166927_4918,-0.125037,-0.535259,7.935806,9.598961,-15.258177,6.815619
3012,g_10166927_4918,-0.113376,-0.533315,7.949896,10.298961,-17.428177,5.48562
3022,g_10166927_4918,-0.124551,-0.534287,7.974188,11.068961,-16.868176,6.11562
3032,g_10166927_4918,-0.123094,-0.526513,7.974675,10.438961,-16.308176,6.67562
3042,g_10166927_4918,-0.128438,-0.526513,7.94941,9.878961,-16.098177,6.60562
3052,g_10166927_4918,-0.133782,-0.527485,7.972245,12.258961,-17.708176,6.67562
3062,g_10166927_4918,-0.115806,-0.546919,7.955726,10.718961,-16.938175,6.46562
3072,g_10166927_4918,-0.128924,-0.526513,7.955241,8.548961,-16.378176,6.39562
3081,g_10166927_4918,-0.117749,-0.534287,7.952811,9.108961,-15.608175,6.74562
3091,g_10166927_4918,-0.118721,-0.53623,7.968359,10.57896,-17.988176,5.97562
3101,g_10166927_4918,-0.115806,-0.524084,7.975646,11.90896,-16.798176,6.46562
3111,g_10166927_4918,-0.119207,-0.516796,7.959127,9.668961,-16.238176,5.76562
3121,g_10166927_4918,-0.117749,-0.540603,7.948439,11.488961,-16.378176,6.25562
3130,g_10166927_4918,-0.115806,-0.539631,7.964958,11.418961,-18.198175,7.02562
3140,g_10166927_4918,-0.120178,-0.529914,7.967873,11.138961,-17.148176,5.69562
3150,g_10166927_4918,-0.116777,-0.519711,7.950868,8.61896,-14.838177,6.67562
3160,g_10166927_4918,-0.122122,-0.524084,7.951354,10.438961,-15.608175,6.67562
3170,g_10166927_4918,-0.131353,-0.531858,7.952811,10.78896,-17.498177,6.18562
3180,g_10166927_4918,-0.126009,-0.522626,7.974675,10.228961,-16.728176,6.045619
3190,g_10166927_4918,-0.126495,-0.526513,7.95767,8.898961,-14.418177,5.97562
3200,g_10166927_4918,-0.119693,-0.539631,7.947952,8.968961,-15.608175,6.95562
3209,g_10166927_4918,-0.136212,-0.546433,7.969816,11.418961,-19.388176,5.76562
