rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
3417,g_10845804_6025,-0.133296,-0.562952,7.960099,11.208961,-18.478176,6.18562
3426,g_10845804_6025,-0.142528,-0.553235,7.962528,10.018961,-15.958176,6.815619
3436,g_10845804_6025,-0.143499,-0.563438,7.956212,9.94896,-17.218176,5.83562
3446,g_10845804_6025,-0.152731,-0.541089,7.965929,9.598961,-17.078176,6.25562
3456,g_10845804_6025,-0.120178,-0.558094,7.970788,9.878961,-13.928177,6.46562
3466,g_10845804_6025,-0.13524,-0.563924,7.954754,10.018961,-16.518177,6.74562
3476,g_10845804_6025,-0.132325,-0.552263,7.959613,11.768961,-19.248177,6.60562
3486,g_10845804_6025,-0.131353,-0.560037,7.980504,10.858961,-19.318176,6.60562
3496,g_10845804_6025,-0.128438,-0.561981,7.95767,9.668961,-16.868176,6.88562
3505,g_10845804_6025,-0.121636,-0.554693,7.941151,9.388961,-14.208176,6.95562
3515,g_10845804_6025,-0.125523,-0.542546,7.944066,9.94896,-16.168177,5.41562
3525,g_10845804_6025,-0.13524,-0.549348,7.959127,10.228961,-17.358175,6.60562
3535,g_10845804_6025,-0.134268,-0.563924,7.958642,9.24896,-16.168177,6.46562
3545,g_10845804_6025,-0.130381,-0.544976,7.962528,10.78896,-17.008177,7.30562
3555,g_10845804_6025,-0.13524,-0.548862,7.949896,10.928961,-18.828176,6.11562
3564,g_10845804_6025,-0.14107,-0.558094,7.959613,11.488961,-18.128176,6.60562
3574,g_10845804_6025,-0.138641,-0.557608,7.977589,10.088961,-14.908176,5.69562
3584,g_10845804_6025,-0.125037,-0.53623,7.946981,8.40896,-13.508177,6.815619
3594,g_10845804_6025,-0.174594,-0.559551,7.954269,11.068961,-17.568176,6.53562
3604,g_10845804_6025,-0.122122,-0.545461,7.954269,10.858961,-18.058176,6.88562
3613,g_10845804_6025,-0.12698,-0.557608,7.969816,12.888961,-17.918177,6.46562
3623,g_10845804_6025,-0.137669,-0.542061,7.967386,10.718961,-15.818176,7.30562
3633,g_10845804_6025,-0.13524,-0.561981,7.956698,9.528961,-15.468176,5.13562
3643,g_10845804_6025,-0.143985,-0.549348,7.954754,11.628961,-16.308176,4.92562
3653,g_10845804_6025,-0.08131,-0.578499,7.780819,1.898961,-10.778175,8.70562
3662,g_10845804_6025,-0.105603,-0.589188,7.825518,-1.321039,-14.698175,9.475619
3672,g_10845804_6025,-0.145929,-0.578014,7.900825,18.558962,-35.978176,3.735619
3682,g_10845804_6025,-0.114834,-0.541089,7.952811,11.418961,-23.658176,9.055619
3692,g_10845804_6025,-0.143499,-0.560037,7.944066,8.688961,-22.328176,5.97562
3702,g_10845804_6025,-0.12115,-0.553721,7.986334,15.128961,-21.488176,3.805619
3712,g_10845804_6025,-0.088112,-0.560037,7.900339,1.128961,-5.038176,9.12562
3721,g_10845804_6025,-0.117263,-0.541089,7.999938,-2.231039,-16.098177,5.20562
3731,g_10845804_6025,-0.163905,-0.526999,8.023259,10.298961,-17.148176,4.43562
3741,g_10845804_6025,-0.12698,-0.561495,7.901797,17.088963,-17.708176,6.67562
3751,g_10845804_6025,-0.128438,-0.569268,7.941151,4.698961,-15.258177,7.16562
3761,g_10845804_6025,-0.14107,-0.552263,8.007711,16.178961,-20.998177,7.515619
3771,g_10845804_6025,-0.119693,-0.570726,7.915401,10.228961,-20.788176,5.41562
3780,g_10845804_6025,-0.148358,-0.552749,7.940665,9.24896,-13.718176,5.90562
3790,g_10845804_6025,-0.138641,-0.535259,7.983419,4.208961,-7.558176,6.60562
3800,g_10845804_6025,-0.137183,-0.550806,7.959613,10.858961,-12.878176,6.88562
3810,g_10845804_6025,-0.124551,-0.555664,7.953297,12.53896,-20.298176,6.88562
3820,g_10845804_6025,-0.132325,-0.55615,7.973217,12.048961,-20.508177,5.76562
3829,g_10845804_6025,-0.136697,-0.55032,7.975646,7.568961,-16.378176,6.88562
3839,g_10845804_6025,-0.121636,-0.552263,7.944066,10.088961,-17.358175,6.60562
3849,g_10845804_6025,-0.123094,-0.55858,7.951839,10.57896,-17.148176,6.32562
3859,g_10845804_6025,-0.133296,-0.56441,7.94941,11.138961,-15.328176,6.53562
3868,g_10845804_6025,-0.129895,-0.575584,7.955726,8.128961,-12.388176,6.25562
3878,g_10845804_6025,-0.127952,-0.559551,7.965929,9.808961,-16.518177,6.88562
3888,g_10845804_6025,-0.139613,-0.553721,7.968844,12.258961,-20.298176,6.60562
3898,g_10845804_6025,-0.128438,-0.554207,7.973702,12.188961,-22.048176,6.53562
3908,g_10845804_6025,-0.118235,-0.549348,7.968844,8.40896,-15.468176,6.32562
