rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2011,g_9860776_6852,0.538152,0.182832,7.929976,11.558961,0.981824,6.53562
2021,g_9860776_6852,0.53961,0.177974,7.975646,12.188961,-73.21817,-1.72438
2030,g_9860776_6852,6.3096,8.483144,15.936833,-21.411037,76.021828,-69.484375
2040,g_9860776_6852,-1.590855,-3.567467,-14.181193,-147.271042,83.931831,57.075619
2050,g_9860776_6852,0.846183,0.931046,10.422887,89.188965,11.411825,6.045619
2060,g_9860776_6852,0.199027,-0.183501,7.649153,20.448961,17.641825,-1.584381
2069,g_9860776_6852,0.557101,-0.13443,8.965815,20.308962,-9.168175,-6.55438
2079,g_9860776_6852,0.254414,-0.097505,9.342836,168.56897,-130.408173,-9.91438
2089,g_9860776_6852,0.402113,-0.080986,8.585877,270.418976,-222.808182,9.12562
2099,g_9860776_6852,0.423491,-0.403592,9.874845,581.988953,-427.138184,-29.72438
2109,g_9860776_6852,0.53961,0.046307,8.567415,806.758911,-652.748169,-52.194382
2119,g_9860776_6852,0.246641,0.274172,1.184879,83.728966,-110.738174,22.565619
2128,g_9860776_6852,0.63338,0.265427,9.817028,-94.421036,120.331825,18.715618
2138,g_9860776_6852,0.532322,0.107525,6.452012,111.378967,-92.818169,0.095619
2148,g_9860776_6852,0.546898,0.113841,8.964356,-11.121039,16.941824,6.95562
2157,g_9860776_6852,0.53961,0.189148,7.480562,35.358959,-5.458176,6.815619
2167,g_9860776_6852,0.550299,0.152223,8.107798,34.23896,-28.698175,5.83562
2177,g_9860776_6852,0.542039,0.134247,8.018887,15.548961,-15.118176,6.53562
2187,g_9860776_6852,0.556615,0.141049,7.855641,17.578962,-14.138176,6.39562
