rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
40,g_10166927_4918,-0.102202,-0.543032,7.988277,8.478961,-14.768177,6.60562
50,g_10166927_4918,-0.116777,-0.537202,7.971273,10.298961,-18.338177,5.41562
60,g_10166927_4918,-0.125523,-0.523598,7.999452,14.708961,-23.448175,6.53562
70,g_10166927_4918,-0.134268,-0.525056,7.990221,15.61896,-23.798176,5.62562
80,g_10166927_4918,-0.132325,-0.521655,7.978076,9.388961,-18.268177,5.48562
90,g_10166927_4918,-0.144471,-0.54449,7.992651,8.82896,-16.658176,5.48562
99,g_10166927_4918,-0.1469,-0.541575,7.967386,12.958961,-22.678177,4.92562
109,g_10166927_4918,-0.1469,-0.524084,7.981476,18.488962,-24.428177,5.97562
119,g_10166927_4918,-0.135726,-0.510966,7.992651,10.438961,-16.798176,6.11562
129,g_10166927_4918,-0.12941,-0.518254,7.963014,4.138961,-9.378176,5.83562
139,g_10166927_4918,-0.145929,-0.555179,7.973702,8.40896,-13.718176,6.045619
149,g_10166927_4918,-0.123094,-0.546919,7.957184,14.218961,-21.628176,5.20562
159,g_10166927_4918,-0.125037,-0.517282,7.981476,12.468961,-19.808176,6.11562
169,g_10166927_4918,-0.110947,-0.535259,7.995566,9.598961,-15.118176,4.85562
179,g_10166927_4918,-0.102202,-0.543518,7.933377,8.758961,-16.168177,5.41562
189,g_10166927_4918,-0.093942,-0.538174,7.9669,10.15896,-14.698175,5.76562
199,g_10166927_4918,-0.073051,-0.536716,7.993622,15.128961,-17.498177,5.27562
209,g_10166927_4918,-0.067706,-0.519225,7.983905,7.28896,-13.368176,5.34562
218,g_10166927_4918,-0.079853,-0.519225,7.96933,5.258961,-10.638176,6.18562
228,g_10166927_4918,-0.090056,-0.535259,7.944066,8.688961,-17.218176,5.55562
238,g_10166927_4918,-0.120664,-0.54449,7.980504,13.728961,-23.518177,5.76562
248,g_10166927_4918,-0.143985,-0.55032,7.992651,16.458961,-24.218176,6.53562
258,g_10166927_4918,-0.167306,-0.517282,7.974675,11.068961,-19.248177,6.25562
267,g_10166927_4918,-0.181882,-0.522626,7.973702,10.36896,-16.658176,5.83562
277,g_10166927_4918,-0.191599,-0.520683,7.936778,9.668961,-16.588177,5.83562
287,g_10166927_4918,-0.195972,-0.516796,7.960585,7.638961,-14.348177,5.76562
297,g_10166927_4918,-0.183825,-0.527485,7.987792,11.628961,-17.288176,5.90562
307,g_10166927_4918,-0.169735,-0.51631,7.97516,11.488961,-16.518177,6.53562
316,g_10166927_4918,-0.1469,-0.526999,7.963014,8.128961,-13.648176,6.25562
326,g_10166927_4918,-0.114348,-0.512909,7.96933,9.108961,-15.258177,6.18562
336,g_10166927_4918,-0.096858,-0.519225,7.998481,12.32896,-20.228176,5.76562
