rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
107,g_10845804_6025,-0.138641,-0.570726,7.977589,8.82896,-16.308176,5.76562
117,g_10845804_6025,-0.143499,-0.554693,7.98925,10.228961,-17.778175,5.41562
126,g_10845804_6025,-0.129895,-0.558094,7.961071,9.528961,-16.658176,5.69562
136,g_10845804_6025,-0.146415,-0.552263,7.971273,10.438961,-17.848177,6.18562
146,g_10845804_6025,-0.132811,-0.547405,7.999452,9.808961,-16.448175,6.045619
156,g_10845804_6025,-0.131839,-0.568782,7.974675,11.768961,-16.098177,6.18562
166,g_10845804_6025,-0.125523,-0.533801,7.964471,7.848961,-14.838177,5.41562
175,g_10845804_6025,-0.109976,-0.546433,7.977589,10.36896,-15.258177,6.67562
185,g_10845804_6025,-0.116292,-0.537688,7.981476,12.678961,-19.808176,5.76562
195,g_10845804_6025,-0.118235,-0.551778,7.978076,11.068961,-19.318176,6.32562
205,g_10845804_6025,-0.113376,-0.567811,7.980019,8.82896,-15.748177,5.69562
215,g_10845804_6025,-0.122122,-0.539145,7.979047,9.108961,-15.678177,6.88562
225,g_10845804_6025,-0.139613,-0.545947,7.989735,12.608961,-16.308176,5.34562
234,g_10845804_6025,-0.129895,-0.550806,7.963014,9.178961,-16.798176,6.045619
244,g_10845804_6025,-0.143499,-0.553235,7.97176,8.338961,-12.318176,6.045619
254,g_10845804_6025,-0.165363,-0.552263,7.984391,9.388961,-13.718176,6.815619
264,g_10845804_6025,-0.147386,-0.547891,7.97176,11.418961,-17.218176,6.46562
274,g_10845804_6025,-0.151759,-0.548377,7.97516,11.69896,-17.498177,6.25562
284,g_10845804_6025,-0.136697,-0.539631,7.982934,9.108961,-14.838177,6.18562
294,g_10845804_6025,-0.139613,-0.554207,7.97856,9.94896,-14.558176,6.25562
303,g_10845804_6025,-0.123094,-0.559551,7.95767,11.768961,-15.538176,6.74562
313,g_10845804_6025,-0.134754,-0.556636,7.997023,9.318961,-19.598177,6.53562
323,g_10845804_6025,-0.128924,-0.543032,7.996052,-0.411039,-23.728176,5.55562
333,g_10845804_6025,-0.123094,-0.566353,7.958156,12.818961,-19.178177,6.045619
343,g_10845804_6025,-0.099773,-0.551292,7.965443,7.638961,-11.898176,6.95562
353,g_10845804_6025,-0.122608,-0.562952,7.980019,7.358961,-12.108175,5.55562
363,g_10845804_6025,-0.154674,-0.544976,7.964958,12.53896,-18.618176,5.55562
373,g_10845804_6025,-0.142528,-0.554207,7.946495,11.068961,-19.318176,5.34562
382,g_10845804_6025,-0.148844,-0.549834,7.972245,9.808961,-16.518177,7.515619
392,g_10845804_6025,-0.131353,-0.549348,7.978076,10.508961,-16.168177,6.53562
402,g_10845804_6025,-0.1469,-0.551292,7.980504,12.818961,-20.578176,6.39562
412,g_10845804_6025,-0.142528,-0.549348,7.98099,11.138961,-18.128176,5.90562
422,g_10845804_6025,-0.127466,-0.55858,7.969816,8.19896,-12.878176,5.97562
432,g_10845804_6025,-0.123094,-0.552263,7.972245,7.568961,-13.018175,6.95562
442,g_10845804_6025,-0.128924,-0.562952,7.958156,9.878961,-19.108175,5.62562
451,g_10845804_6025,-0.127952,-0.536716,7.950868,11.628961,-19.878176,5.90562
461,g_10845804_6025,-0.125523,-0.552749,7.965929,9.24896,-17.288176,6.46562
471,g_10845804_6025,-0.117749,-0.55615,7.980019,10.508961,-14.488176,7.23562
