rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
658,g_2278099_9198,-0.55876,0.174216,7.98856,11.48,-19.040001,7.63
668,g_2278099_9198,-0.569008,0.167872,8.00564,11.69,-18.9,7.42
677,g_2278099_9198,-0.571936,0.175192,8.002224,11.97,-19.389999,7.42
687,g_2278099_9198,-0.562664,0.188368,7.995392,11.34,-19.32,7.49
697,g_2278099_9198,-0.581696,0.166408,8.001736,12.11,-18.27,8.61
707,g_2278099_9198,-0.574864,0.167384,7.988072,11.41,-19.32,7.49
716,g_2278099_9198,-0.562664,0.176656,7.99832,12.04,-19.25,8.61
726,g_2278099_9198,-0.586088,0.167872,7.993928,12.11,-19.74,7.14
736,g_2278099_9198,-0.567544,0.169336,7.991976,11.97,-19.67,7.56
745,g_2278099_9198,-0.562664,0.16592,7.986608,13.02,-18.9,7.77
755,g_2278099_9198,-0.56364,0.17324,8.002224,12.18,-18.620001,7.77
765,g_2278099_9198,-0.562664,0.159088,8.004176,11.34,-19.459999,7.21
774,g_2278099_9198,-0.568032,0.174216,7.871928,13.02,-18.969999,7.7
784,g_2278099_9198,-0.572912,0.173728,8.003688,11.55,-18.9,7.56
794,g_2278099_9198,-0.57096,0.192272,7.994416,11.48,-19.530001,6.72
804,g_2278099_9198,-0.564128,0.152256,8.00076,11.83,-19.459999,7.98
814,g_2278099_9198,-0.573888,0.1586,7.983192,13.09,-18.620001,7.35
823,g_2278099_9198,-0.576816,0.164944,8.016864,12.25,-18.83,7.0
833,g_2278099_9198,-0.56852,0.17568,7.974408,12.88,-19.459999,7.56
843,g_2278099_9198,-0.573888,0.179584,7.996368,13.86,-18.969999,7.84
853,g_2278099_9198,-0.56364,0.179096,8.01052,11.13,-19.459999,6.65
862,g_2278099_9198,-0.577792,0.181048,7.995392,12.11,-19.530001,7.91
872,g_2278099_9198,-0.571448,0.169824,7.992952,12.39,-18.549999,7.98
882,g_2278099_9198,-0.571936,0.17324,7.98124,11.06,-19.809999,6.93
892,g_2278099_9198,-0.564128,0.172264,7.985632,13.02,-19.530001,7.35
901,g_2278099_9198,-0.562664,0.168848,8.005152,11.34,-19.040001,7.77
