rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
805,g_2542688_8606,-0.570472,0.16592,8.001736,12.18,-18.9,7.98
815,g_2542688_8606,-0.557296,0.172752,7.981728,12.95,-19.040001,6.86
825,g_2542688_8606,-8.620032,11.517776,-8.597096,-1216.040039,1386.349976,1360.099976
834,g_2542688_8606,15.3598,15.978096,-9.255408,17.780001,41.509998,-334.950012
844,g_2542688_8606,-1.694824,-0.246928,8.882576,34.860001,-88.690002,1.33
854,g_2542688_8606,-0.618784,0.135176,8.099336,-63.279999,-8.33,-1.19
864,g_2542688_8606,-0.58316,0.45628,8.25696,-225.610001,-7.14,28.0
874,g_2542688_8606,-0.713944,1.81536,8.985056,-525.559998,-2.52,120.260002
883,g_2542688_8606,-0.520208,3.13052,9.190992,-615.159973,66.709999,316.75
893,g_2542688_8606,-0.146888,1.791448,9.341296,-616.419983,140.699997,540.190002
903,g_2542688_8606,-1.22,1.238056,13.363392,52.709999,26.459999,482.649994
912,g_2542688_8606,-1.526464,-5.790608,7.149688,821.799988,-344.190002,-13.23
922,g_2542688_8606,0.990152,-1.880264,1.987136,188.020004,-57.610001,-126.209999
932,g_2542688_8606,0.061,0.703696,4.03332,101.010002,157.5,-139.300003
942,g_2542688_8606,-1.254648,3.166144,12.394712,-63.349998,56.279999,-8.89
951,g_2542688_8606,-0.144936,-1.041392,8.046144,196.490005,-69.230003,6.3
961,g_2542688_8606,-0.761768,-0.06588,6.459656,-14.21,-6.93,6.3
971,g_2542688_8606,-0.574864,0.03904,8.676152,-28.84,-32.060001,5.18
981,g_2542688_8606,-0.651968,0.210328,7.784088,14.84,-5.11,9.03
991,g_2542688_8606,-0.580232,0.10004,8.019792,-0.07,-28.139999,7.91
1001,g_2542688_8606,-0.636352,0.120048,8.031992,10.5,-14.77,8.12
1010,g_2542688_8606,-0.582672,0.096624,7.942688,11.83,-11.34,6.79
1020,g_2542688_8606,-0.61,0.121024,7.98612,4.34,-25.48,8.47
1030,g_2542688_8606,-0.601216,0.081984,7.96904,20.16,-13.65,7.35
1040,g_2542688_8606,-0.60024,0.106872,7.998808,9.45,-22.68,7.56
1049,g_2542688_8606,-0.591944,0.11712,7.982216,16.309999,-15.82,6.93
