rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
21,g_1723667_2658,-0.548024,0.024888,8.004176,13.37,-19.6,7.0
31,g_1723667_2658,-0.546072,0.020496,7.999784,12.88,-19.530001,7.42
40,g_1723667_2658,-0.55876,0.030256,8.006128,12.95,-20.02,7.35
50,g_1723667_2658,-0.552416,0.027328,8.010032,12.39,-19.25,8.05
60,g_1723667_2658,-0.555832,0.02196,8.009544,12.04,-18.41,7.91
70,g_1723667_2658,-0.556808,0.031232,8.0154,11.55,-19.74,7.84
79,g_1723667_2658,-0.55388,0.015128,8.010032,13.3,-19.18,6.93
89,g_1723667_2658,-0.547536,0.013664,8.009056,12.11,-19.950001,7.63
99,g_1723667_2658,-0.55388,0.013664,8.000272,12.18,-19.18,8.12
109,g_1723667_2658,-0.555832,0.015616,8.019792,12.25,-20.02,7.56
119,g_1723667_2658,-0.540704,0.019032,8.0032,13.44,-20.370001,7.0
128,g_1723667_2658,-0.550952,0.025864,8.00808,12.39,-19.459999,7.0
138,g_1723667_2658,-0.551928,0.01708,8.016376,12.95,-19.32,7.77
148,g_1723667_2658,-0.547536,0.025864,8.011496,12.95,-19.67,7.28
158,g_1723667_2658,-0.552904,0.027816,8.0032,12.32,-19.530001,7.14
167,g_1723667_2658,-0.541192,0.027816,8.006128,12.88,-19.459999,7.35
177,g_1723667_2658,-0.53924,0.020008,8.006128,12.88,-18.76,7.28
187,g_1723667_2658,-0.542168,0.016592,7.995392,12.81,-19.25,7.0
196,g_1723667_2658,-0.55876,0.018544,8.012472,11.41,-20.09,7.42
206,g_1723667_2658,-0.540216,0.018056,8.011008,11.62,-18.9,6.72
216,g_1723667_2658,-0.563152,0.011224,8.0032,13.23,-18.969999,7.63
226,g_1723667_2658,-0.533384,0.01952,8.007104,11.97,-19.459999,7.49
235,g_1723667_2658,-0.549976,0.022448,8.007104,12.53,-19.6,7.84
245,g_1723667_2658,-0.528504,0.01952,8.018328,13.3,-19.67,7.63
255,g_1723667_2658,-0.540704,0.01952,8.013936,12.25,-19.879999,7.21
265,g_1723667_2658,-0.553392,0.020008,8.018816,12.25,-19.809999,7.49
