rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
120,g_6125265_5826,-0.220576,-0.350384,8.011984,11.34,-20.02,7.21
130,g_6125265_5826,-0.228384,-0.359656,8.019792,10.71,-19.040001,7.42
139,g_6125265_5826,-0.2318,-0.36844,8.024184,12.04,-18.9,7.0
149,g_6125265_5826,-0.2318,-0.358192,8.026136,10.99,-19.25,7.0
159,g_6125265_5826,-0.223504,-0.367464,8.033944,11.27,-20.16,6.09
169,g_6125265_5826,-0.211304,-0.367952,8.019792,12.11,-19.459999,6.65
179,g_6125265_5826,-0.225456,-0.371368,8.006616,12.46,-19.67,6.51
189,g_6125265_5826,-0.21716,-0.37332,8.02516,11.48,-19.67,7.21
199,g_6125265_5826,-0.218136,-0.358192,8.001736,11.34,-19.879999,6.37
208,g_6125265_5826,-0.235216,-0.376736,8.014912,11.83,-20.09,6.72
218,g_6125265_5826,-0.223016,-0.368928,8.018816,11.62,-19.6,6.72
228,g_6125265_5826,-0.211304,-0.375272,8.0154,12.11,-19.459999,6.86
238,g_6125265_5826,-0.223016,-0.371368,8.01296,11.97,-19.459999,6.44
248,g_6125265_5826,-0.226432,-0.368928,8.008568,12.95,-19.110001,7.42
258,g_6125265_5826,-0.225456,-0.362584,8.013448,12.67,-19.459999,6.93
267,g_6125265_5826,-0.228384,-0.359168,8.013936,13.23,-19.110001,7.0
277,g_6125265_5826,-0.227896,-0.371368,8.020768,12.18,-18.620001,7.0
287,g_6125265_5826,-0.221064,-0.368928,8.027112,12.67,-20.370001,8.05
297,g_6125265_5826,-0.222528,-0.369416,8.016376,13.02,-18.9,6.51
307,g_6125265_5826,-0.23668,-0.374296,8.011496,13.02,-18.690001,6.3
317,g_6125265_5826,-0.226432,-0.369416,8.005152,12.67,-19.459999,7.0
327,g_6125265_5826,-0.226432,-0.356728,8.02028,12.39,-19.67,6.16
337,g_6125265_5826,-0.223992,-0.371368,8.03248,12.53,-18.83,7.49
347,g_6125265_5826,-0.22204,-0.355752,8.009544,11.55,-18.969999,6.86
356,g_6125265_5826,-0.228384,-0.364536,8.017352,11.62,-18.690001,7.42
