rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1795,g_2668262_3874,-4.92148,-15.969312,3.274968,898.309998,-973.070007,-1034.530029
1805,g_2668262_3874,-10.589112,12.43668,-0.555832,580.51001,736.820007,357.420013
1815,g_2668262_3874,1.733864,0.726144,8.585384,311.359985,-108.5,-2.87
1824,g_2668262_3874,-0.489952,0.739808,8.975784,-7.7,-36.82,4.76
1834,g_2668262_3874,-0.16104,0.680272,9.492088,-308.209991,16.24,20.23
1844,g_2668262_3874,-0.465552,1.428376,8.718608,-625.590027,52.360001,75.110001
1853,g_2668262_3874,-0.54168,3.78688,9.225152,-855.190002,59.5,281.329987
1863,g_2668262_3874,-0.19276,2.184776,7.928048,-916.859985,198.869995,460.809998
1873,g_2668262_3874,-0.4148,-10.3822,8.845,-414.049988,243.740005,97.860001
1882,g_2668262_3874,-1.423008,0.6588,13.62252,745.429993,79.800003,-68.949997
1892,g_2668262_3874,-0.022936,0.168848,6.93448,776.859985,-70.279999,-72.029999
1902,g_2668262_3874,-0.59048,0.196664,1.602592,221.759995,29.889999,-75.739998
1911,g_2668262_3874,-0.03172,1.8056,6.013136,-279.790009,106.540001,16.52
1921,g_2668262_3874,-0.773968,-0.511912,12.732408,-166.039993,86.449997,6.3
1931,g_2668262_3874,-0.596824,0.084424,7.719672,224.139999,-49.560001,4.06
1940,g_2668262_3874,-0.49044,0.135176,6.269336,-22.33,-4.2,9.24
1950,g_2668262_3874,-0.46848,0.010736,9.095344,17.219999,-15.33,7.91
1960,g_2668262_3874,-0.554856,0.169824,7.426872,14.49,-13.79,7.14
1969,g_2668262_3874,-0.489464,0.069784,8.289656,7.98,-21.139999,8.47
1979,g_2668262_3874,-0.547048,0.15128,7.887544,5.18,-13.65,8.68
1989,g_2668262_3874,-0.511912,0.076128,7.964648,18.059999,-1.19,7.0
1998,g_2668262_3874,-0.521184,0.095648,8.039312,4.76,-21.35,8.26
2008,g_2668262_3874,-0.516792,0.100528,7.965624,13.79,-15.05,7.77
2018,g_2668262_3874,-0.50996,0.09272,7.98856,12.25,-19.110001,7.35
2027,g_2668262_3874,-0.518256,0.099064,8.011008,11.41,-19.110001,6.44
