rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
18,g_1259669_7763,-0.58316,0.052704,8.005152,12.6,-19.459999,7.56
28,g_1259669_7763,-0.567544,0.06832,7.997344,12.32,-19.18,7.49
38,g_1259669_7763,-0.564128,0.051728,8.006128,12.6,-18.48,7.07
47,g_1259669_7763,-0.574376,0.056608,8.00808,12.53,-19.110001,7.35
57,g_1259669_7763,-0.566568,0.055144,7.995392,12.46,-19.6,7.7
67,g_1259669_7763,-0.559736,0.066368,8.025648,12.32,-20.58,7.63
77,g_1259669_7763,-0.576328,0.054656,8.0032,13.02,-19.879999,6.86
87,g_1259669_7763,-0.576816,0.059048,8.005152,12.11,-19.74,6.51
96,g_1259669_7763,-0.55632,0.0488,8.009544,12.53,-18.9,7.49
106,g_1259669_7763,-0.548512,0.060512,8.017352,12.6,-20.370001,8.05
116,g_1259669_7763,-0.568032,0.050752,8.002712,13.23,-18.83,7.14
126,g_1259669_7763,-0.55632,0.05612,8.01296,12.95,-19.18,6.79
136,g_1259669_7763,-0.57096,0.065392,8.014424,12.95,-18.969999,7.42
145,g_1259669_7763,-0.571936,0.077104,8.013936,11.97,-19.530001,7.0
155,g_1259669_7763,-0.56364,0.05856,8.00808,12.95,-19.879999,7.07
165,g_1259669_7763,-0.581208,0.054168,8.003688,12.67,-18.48,7.91
175,g_1259669_7763,-0.57584,0.071736,8.002224,12.32,-19.25,6.72
185,g_1259669_7763,-0.574376,0.055144,8.013936,12.39,-18.76,7.28
194,g_1259669_7763,-0.576328,0.06832,7.99588,12.39,-20.299999,7.98
204,g_1259669_7763,-0.574864,0.059536,8.00564,12.32,-19.6,7.56
214,g_1259669_7763,-0.580232,0.055144,8.001248,11.41,-18.969999,7.49
224,g_1259669_7763,-0.579744,0.05368,8.006128,12.18,-20.23,7.42
234,g_1259669_7763,-0.581208,0.062464,8.004664,12.04,-20.299999,7.56
244,g_1259669_7763,-0.569008,0.060024,8.007592,11.55,-19.18,7.0
253,g_1259669_7763,-0.572424,0.07076,7.999296,11.62,-19.74,7.0
263,g_1259669_7763,-0.570472,0.061,8.015888,12.53,-19.18,7.63
273,g_1259669_7763,-0.568032,0.055144,8.009544,12.39,-18.83,7.49
283,g_1259669_7763,-0.567056,0.05856,8.019792,12.46,-19.459999,7.07
293,g_1259669_7763,-0.579744,0.05368,7.999296,12.53,-19.18,8.33
302,g_1259669_7763,-0.580232,0.06344,8.011984,13.23,-18.9,8.12
312,g_1259669_7763,-0.581208,0.065392,8.022232,12.11,-18.83,7.98
322,g_1259669_7763,-0.5734,0.051728,8.011496,12.18,-18.76,7.42
332,g_1259669_7763,-0.556808,0.05612,8.025648,12.46,-20.16,7.28
341,g_1259669_7763,-0.56608,0.060024,7.992952,12.25,-19.18,6.86
351,g_1259669_7763,-0.5612,0.062952,8.00076,13.93,-19.530001,6.58
361,g_1259669_7763,-0.565592,0.05368,8.008568,11.83,-19.459999,7.21
371,g_1259669_7763,-0.578768,0.06588,8.00076,13.23,-18.969999,7.42
381,g_1259669_7763,-0.568032,0.064416,8.001248,12.11,-19.879999,7.21
390,g_1259669_7763,-0.581208,0.05368,7.999784,12.6,-19.32,7.21
400,g_1259669_7763,-0.56608,0.061976,8.014424,12.04,-18.9,6.93
410,g_1259669_7763,-0.552904,0.05124,8.014424,14.21,-19.809999,8.4
420,g_1259669_7763,-0.564616,0.054656,8.00076,11.62,-19.879999,6.65
429,g_1259669_7763,-0.589504,0.062952,8.001248,12.74,-19.32,6.79
439,g_1259669_7763,-0.576328,0.063928,8.007592,13.16,-18.129999,7.35
449,g_1259669_7763,-0.575352,0.060024,7.994904,12.39,-19.040001,7.56
459,g_1259669_7763,-0.57828,0.05612,7.99588,11.97,-19.459999,7.35
