rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1791,g_10166927_4918,-0.120664,-0.526999,7.947952,9.318961,-16.658176,6.25562
1801,g_10166927_4918,-0.126009,-0.540117,7.947952,10.508961,-17.778175,6.11562
1810,g_10166927_4918,-0.099287,-0.537688,7.967873,10.718961,-17.918177,5.69562
1820,g_10166927_4918,-0.117749,-0.533315,7.974675,9.458961,-16.168177,5.13562
1830,g_10166927_4918,-0.112405,-0.529428,7.965443,8.898961,-15.328176,5.90562
1840,g_10166927_4918,-0.115806,-0.536716,7.962042,9.738961,-17.568176,6.18562
1849,g_10166927_4918,-0.131353,-0.529428,7.973217,11.628961,-17.428177,6.53562
1859,g_10166927_4918,-0.122122,-0.528942,7.956212,8.898961,-14.558176,7.09562
1869,g_10166927_4918,-0.12698,-0.53623,7.942122,9.458961,-15.608175,7.23562
1879,g_10166927_4918,-0.111919,-0.534773,7.959127,12.11896,-17.078176,6.18562
1889,g_10166927_4918,-0.126495,-0.533801,7.97176,10.928961,-17.848177,6.32562
1899,g_10166927_4918,-0.112405,-0.529428,7.976618,9.668961,-15.398176,7.37562
1909,g_10166927_4918,-0.108518,-0.52457,7.9669,9.878961,-16.798176,6.18562
1919,g_10166927_4918,-0.117749,-0.540117,7.956212,11.488961,-18.198175,6.39562
1928,g_10166927_4918,-0.113862,-0.529914,7.968359,10.57896,-17.708176,5.41562
1938,g_10166927_4918,-0.124065,-0.530886,7.969816,9.878961,-15.118176,6.11562
1948,g_10166927_4918,-0.125037,-0.541089,7.964958,10.088961,-16.868176,6.74562
1958,g_10166927_4918,-0.128438,-0.51631,7.949896,11.488961,-17.918177,6.045619
1968,g_10166927_4918,-0.120178,-0.533315,7.962528,10.858961,-17.568176,6.46562
1977,g_10166927_4918,-0.137183,-0.524084,7.964471,9.108961,-14.418177,6.53562
1987,g_10166927_4918,-0.125523,-0.531858,7.956698,8.968961,-15.678177,5.13562
1997,g_10166927_4918,-0.12698,-0.538174,7.9669,12.048961,-18.548176,6.53562
2007,g_10166927_4918,-0.127466,-0.522626,7.967873,11.138961,-17.848177,6.46562
2017,g_10166927_4918,-0.132811,-0.527971,7.960099,9.668961,-15.118176,5.34562
2027,g_10166927_4918,-0.117263,-0.535259,7.963986,10.018961,-14.838177,6.18562
2036,g_10166927_4918,-0.120178,-0.539145,7.964958,11.068961,-18.478176,5.76562
2046,g_10166927_4918,-0.10123,-0.525056,7.951354,10.99896,-17.148176,5.62562
2056,g_10166927_4918,-0.106575,-0.520197,7.964471,8.968961,-15.188175,6.18562
2066,g_10166927_4918,-0.117263,-0.543032,7.963986,8.898961,-14.698175,6.32562
2076,g_10166927_4918,-0.122608,-0.54449,7.960585,11.768961,-17.708176,6.32562
2086,g_10166927_4918,-0.118721,-0.527485,7.974188,11.208961,-17.428177,6.95562
2096,g_10166927_4918,-0.117749,-0.542061,7.959127,8.268961,-16.658176,6.53562
2105,g_10166927_4918,-0.125523,-0.51631,7.964958,11.278961,-16.028175,6.95562
2115,g_10166927_4918,-0.124065,-0.538174,7.948924,11.69896,-18.758177,6.53562
2125,g_10166927_4918,-0.134268,-0.533801,7.948924,12.678961,-18.548176,5.90562
2135,g_10166927_4918,-0.130381,-0.526999,7.961071,8.688961,-16.168177,5.83562
2145,g_10166927_4918,-0.131839,-0.525056,7.951354,9.878961,-15.468176,6.25562
2154,g_10166927_4918,-0.125037,-0.533315,7.954269,11.138961,-17.288176,7.44562
2164,g_10166927_4918,-0.127952,-0.533801,7.969816,11.488961,-16.868176,5.90562
2174,g_10166927_4918,-0.12941,-0.539145,7.963014,9.598961,-14.978176,6.39562
2184,g_10166927_4918,-0.111919,-0.542546,7.952325,9.24896,-16.168177,6.46562
2194,g_10166927_4918,-0.138155,-0.544976,7.956698,10.718961,-17.638176,6.25562
2204,g_10166927_4918,-0.115806,-0.52457,7.949896,10.088961,-16.728176,5.69562
2214,g_10166927_4918,-0.102202,-0.523112,7.962528,9.668961,-15.188175,6.67562
2223,g_10166927_4918,-0.131353,-0.526513,7.966415,9.94896,-16.028175,6.25562
2233,g_10166927_4918,-0.121636,-0.532829,7.952811,12.818961,-17.988176,5.90562
2243,g_10166927_4918,-0.141556,-0.529428,7.957184,9.878961,-16.588177,6.53562
2253,g_10166927_4918,-0.128924,-0.538174,7.960099,9.388961,-14.488176,6.32562
