rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1871,g_10845804_6025,-0.149815,-0.54449,7.963014,9.738961,-16.938175,6.18562
1881,g_10845804_6025,-0.134268,-0.548377,7.962528,9.738961,-16.448175,6.46562
1891,g_10845804_6025,-0.131353,-0.554207,7.950382,11.068961,-16.098177,5.83562
1901,g_10845804_6025,-0.150301,-0.559065,7.947467,10.438961,-16.308176,5.97562
1911,g_10845804_6025,-0.12115,-0.540603,7.958642,10.508961,-16.938175,6.32562
1920,g_10845804_6025,-0.142042,-0.560037,7.961556,11.488961,-17.988176,6.18562
1930,g_10845804_6025,-0.136697,-0.552263,7.955726,9.878961,-17.148176,6.18562
1940,g_10845804_6025,-0.130381,-0.551778,7.947467,10.088961,-15.468176,7.02562
1950,g_10845804_6025,-0.134754,-0.549348,7.959613,10.57896,-15.748177,5.83562
1960,g_10845804_6025,-0.143985,-0.555179,7.963986,10.57896,-17.638176,6.46562
1970,g_10845804_6025,-0.133296,-0.554207,7.961071,11.208961,-16.798176,6.53562
1979,g_10845804_6025,-0.118235,-0.562466,7.951839,10.018961,-15.328176,6.95562
1989,g_10845804_6025,-0.12941,-0.552749,7.936292,10.508961,-16.448175,6.46562
1999,g_10845804_6025,-0.141556,-0.560523,7.960585,11.348961,-17.988176,6.46562
2009,g_10845804_6025,-0.138641,-0.561981,7.98099,10.718961,-18.268177,6.11562
2019,g_10845804_6025,-0.1469,-0.548862,7.953297,9.24896,-15.258177,5.97562
2029,g_10845804_6025,-0.143985,-0.561009,7.955241,10.088961,-16.938175,7.30562
2039,g_10845804_6025,-0.14933,-0.560037,7.952325,11.768961,-17.848177,6.815619
2048,g_10845804_6025,-0.141556,-0.547891,7.967386,10.15896,-16.868176,5.76562
2058,g_10845804_6025,-0.140098,-0.55858,7.947952,10.36896,-14.768177,6.18562
2068,g_10845804_6025,-0.132325,-0.567811,7.930948,9.318961,-17.008177,6.045619
2078,g_10845804_6025,-0.14107,-0.560037,7.960585,12.048961,-19.388176,5.83562
2088,g_10845804_6025,-0.13524,-0.555664,7.956698,12.188961,-18.058176,7.23562
2098,g_10845804_6025,-0.118721,-0.55858,7.98099,9.178961,-12.598175,6.39562
2107,g_10845804_6025,-0.145929,-0.546433,7.970301,10.018961,-15.118176,7.37562
2117,g_10845804_6025,-0.125523,-0.539145,7.96933,11.488961,-18.058176,5.97562
2127,g_10845804_6025,-0.14107,-0.555179,7.958156,10.018961,-16.588177,6.815619
2137,g_10845804_6025,-0.148358,-0.553235,7.964958,9.738961,-15.048176,6.11562
2147,g_10845804_6025,-0.144471,-0.558094,7.949896,10.57896,-16.588177,7.02562
2157,g_10845804_6025,-0.143985,-0.554207,7.959613,10.298961,-18.828176,5.41562
2167,g_10845804_6025,-0.133782,-0.547405,7.961556,10.36896,-16.798176,6.25562
2177,g_10845804_6025,-0.137669,-0.547891,7.961556,9.108961,-32.898174,5.83562
2186,g_10845804_6025,-0.132811,-0.554693,7.963986,10.928961,-17.218176,6.25562
2196,g_10845804_6025,-0.139127,-0.555664,7.962042,10.57896,-18.268177,6.18562
2206,g_10845804_6025,-0.124065,-0.566839,7.966415,11.068961,-16.658176,6.88562
2216,g_10845804_6025,-0.128924,-0.55858,7.946981,10.36896,-16.238176,6.32562
2226,g_10845804_6025,-0.138641,-0.553721,7.970788,10.78896,-16.798176,6.25562
2236,g_10845804_6025,-0.154674,-0.547891,7.965443,10.298961,-17.778175,5.69562
2245,g_10845804_6025,-0.138641,-0.560037,7.977103,9.738961,-15.398176,6.46562
2255,g_10845804_6025,-0.133782,-0.549348,7.936778,9.808961,-14.908176,6.25562
2265,g_10845804_6025,-0.140098,-0.553235,7.96933,9.668961,-17.428177,5.90562
2275,g_10845804_6025,-0.150787,-0.544004,7.963014,11.278961,-19.038176,5.69562
2285,g_10845804_6025,-0.123094,-0.547891,7.970788,10.088961,-16.658176,6.46562
2295,g_10845804_6025,-0.131839,-0.55032,7.937263,8.40896,-14.418177,6.53562
2305,g_10845804_6025,-0.133782,-0.559551,7.942608,9.03896,-16.448175,5.97562
2314,g_10845804_6025,-0.134268,-0.553721,7.954269,10.36896,-17.008177,6.045619
2324,g_10845804_6025,-0.148358,-0.555179,7.957184,9.808961,-15.328176,6.25562
2334,g_10845804_6025,-0.14107,-0.553235,7.946495,9.108961,-14.628176,6.11562
2344,g_10845804_6025,-0.143499,-0.552749,7.93532,9.878961,-18.198175,6.95562
2354,g_10845804_6025,-0.134268,-0.564896,7.963986,10.648961,-19.038176,6.46562
2364,g_10845804_6025,-0.125037,-0.541089,7.970301,10.438961,-16.588177,6.53562
2374,g_10845804_6025,-0.14107,-0.549834,7.964471,9.318961,-14.068176,6.67562
2383,g_10845804_6025,-0.127466,-0.572669,7.947952,10.36896,-15.888176,7.09562
