rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1079,g_14815_6316,-0.317243,0.165322,7.956559,9.025524,-17.584976,5.99438
1089,g_14815_6316,3.593714,-6.798859,-1.752954,-1583.124512,-1994.804932,239.444382
1099,g_14815_6316,3.583047,15.842125,2.445047,123.755524,504.475037,-620.225586
1109,g_14815_6316,1.353617,-0.117357,9.419896,206.21553,-185.23497,-12.41562
1118,g_14815_6316,0.216598,0.218658,7.824675,-168.28447,-12.194977,10.12438
1128,g_14815_6316,0.24472,0.502791,8.408458,-321.374481,32.675022,24.68438
1138,g_14815_6316,0.162777,0.833957,9.073215,-617.824463,78.735023,30.984381
1147,g_14815_6316,0.127382,1.584535,9.549841,-1023.754517,185.345032,78.86438
1157,g_14815_6316,0.062894,1.558352,10.021133,-1248.524536,375.39502,128.424377
1167,g_14815_6316,0.518187,-7.430645,2.099335,758.165527,603.315002,-17.38562
1177,g_14815_6316,0.138049,1.08415,9.60657,2214.235596,859.515015,1.16438
1186,g_14815_6316,-0.463189,0.688496,3.259143,1000.08551,915.234985,5.15438
1196,g_14815_6316,-0.045716,1.08318,7.370837,370.435516,375.39502,-15.77562
1206,g_14815_6316,-1.160916,0.439758,8.207236,-382.204498,-258.804962,-36.355621
1216,g_14815_6316,-0.305607,0.082409,7.401383,-736.264465,-411.474976,13.41438
1226,g_14815_6316,-0.000139,-0.196391,9.430562,-372.964478,-218.134979,-1.56562
1236,g_14815_6316,-0.078688,-0.083901,7.886738,317.09552,176.315033,9.49438
1246,g_14815_6316,-0.450098,0.20993,7.940074,257.315521,121.855019,3.05438
1256,g_14815_6316,-0.389489,0.244356,7.508055,-33.884476,-58.324974,7.88438
1265,g_14815_6316,-0.345851,0.04362,8.095231,-167.234467,-117.264977,3.33438
1275,g_14815_6316,-0.224148,0.063015,8.04432,31.985523,24.625025,8.934381
1285,g_14815_6316,-0.361367,0.123138,7.982257,93.02552,40.795025,6.62438
1295,g_14815_6316,-0.30997,0.175989,7.759217,-8.754477,-42.084976,6.90438
1305,g_14815_6316,-0.279908,0.106168,8.003592,-55.864475,-57.204975,2.07438
1314,g_14815_6316,-0.280393,0.09744,7.977893,17.215525,-5.684976,4.38438
