rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1843,g_2352222_8582,-0.60512,0.021472,7.989536,13.09,-20.16,7.07
1852,g_2352222_8582,-0.613416,0.040016,7.98124,12.6,-20.02,7.21
1862,g_2352222_8582,-0.616832,0.025864,7.980264,12.6,-18.83,7.98
1872,g_2352222_8582,-0.606096,0.030744,7.992952,12.74,-18.27,7.56
1882,g_2352222_8582,-0.604144,0.027816,7.991,12.18,-19.809999,7.77
1891,g_2352222_8582,-0.610488,0.024888,7.994904,12.32,-19.18,6.86
1901,g_2352222_8582,-0.605608,0.018056,7.990512,12.39,-19.530001,7.35
1911,g_2352222_8582,-0.604632,0.026352,7.994904,12.39,-18.969999,7.42
1921,g_2352222_8582,-0.610488,0.035624,7.989048,11.97,-19.459999,6.65
1930,g_2352222_8582,-0.607072,0.028304,7.987584,12.74,-19.459999,7.07
1940,g_2352222_8582,-0.621224,0.016592,7.975872,12.81,-19.18,7.42
1950,g_2352222_8582,-0.610488,0.021472,7.989536,12.81,-20.16,7.77
1960,g_2352222_8582,-0.604632,0.028304,7.995392,13.23,-18.34,8.68
1970,g_2352222_8582,-0.616344,0.0244,7.99344,12.81,-18.9,7.42
1980,g_2352222_8582,-0.611952,0.033672,7.979776,12.6,-19.74,7.77
1989,g_2352222_8582,-0.617808,0.023424,7.982216,11.9,-19.530001,7.49
1999,g_2352222_8582,-0.601704,0.014152,7.982704,11.9,-18.620001,7.07
2009,g_2352222_8582,-0.618784,0.023912,7.995392,12.04,-19.879999,7.0
2018,g_2352222_8582,-0.611464,0.025864,7.977824,11.55,-20.23,7.28
2028,g_2352222_8582,-0.605608,0.021472,7.96904,13.23,-17.99,7.21
2038,g_2352222_8582,-0.605608,0.010248,7.988072,12.81,-18.969999,7.49
2048,g_2352222_8582,-0.617808,0.028304,7.973432,11.41,-19.879999,7.77
2058,g_2352222_8582,-0.628544,0.034648,7.98368,12.32,-18.41,7.35
2068,g_2352222_8582,-0.607072,0.028792,7.979776,11.76,-20.58,7.0
2077,g_2352222_8582,-0.615856,0.033672,7.997832,14.0,-19.530001,7.21
2087,g_2352222_8582,-0.61976,0.02684,7.997344,12.18,-19.110001,7.42
