timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
3557,-2.0862,-3.1959,3.8820,-252.7000,493.0800,25.4800
3577,-3.3892,-1.2717,5.9321,-197.1200,201.0400,176.4000
3597,-0.4280,-4.1207,8.3214,95.2700,-119.2100,73.9200
3617,-0.1566,-2.7411,8.2955,274.7500,-104.0200,26.0400
3637,-1.2024,-1.8759,8.3243,252.0000,18.2000,68.5300
3657,-0.6100,-2.3258,8.8494,136.3600,-87.2200,47.7400
3677,-0.1649,-1.9788,7.8997,-14.4900,-42.0000,-2.0300
3697,-1.0414,-1.5962,7.0960,-94.1500,46.0600,42.0700
3717,-0.8086,-2.3170,7.5494,-96.6700,26.9500,40.3900
3737,-0.3582,-2.8558,8.0862,-41.9300,1.4000,9.1000
3757,-0.8857,-2.2189,7.4859,15.2600,21.2100,15.0500
3777,-0.9897,-2.1262,7.4025,32.6200,-7.8400,23.1000
3797,-0.7266,-2.1926,7.6431,39.0600,-47.5300,9.5200
3817,-0.7725,-2.1213,7.7607,18.9700,-40.7400,10.2900
3837,-0.8164,-2.1096,7.9163,-16.8000,-40.6700,14.4900
3857,-0.6373,-2.2648,7.8314,-40.1100,-41.5100,12.5300
3877,-0.6115,-2.3644,7.6494,-33.5300,-34.0200,12.3900
3897,-0.7115,-2.3180,7.5601,-9.8000,-28.0000,13.9300
3917,-0.7393,-2.3058,7.5679,15.7500,-27.9300,10.2200
3937,-0.7584,-2.3400,7.8148,27.5800,-31.7800,3.1500
3957,-0.8062,-2.1926,7.7465,13.4400,-48.2300,0.9100
3977,-0.6881,-2.2165,7.6870,-4.3400,-59.2200,0.2800
3997,-0.6076,-2.1618,7.6245,-17.4300,-54.8100,6.8600
4017,-0.5534,-2.2175,7.5655,-21.0000,-27.9300,16.1700
4037,-0.6110,-2.3736,7.5899,-9.3800,-14.7700,23.2400
4057,-0.7081,-2.4527,7.7167,6.8600,-14.5600,18.4100
4077,-0.7462,-2.3756,7.7084,24.6400,-25.4100,9.9400
4097,-0.7003,-2.2189,7.7231,28.4900,-24.7100,11.4100
4117,-0.6422,-2.2721,7.7831,25.6900,-20.7900,12.7400
4137,-0.6490,-2.2326,7.6523,16.9400,-19.7400,12.9500
4157,-0.6681,-2.2419,7.6514,11.7600,-22.6800,10.7800
4177,-0.6847,-2.2590,7.6767,7.7700,-20.5100,13.6500
4197,-0.6622,-2.3156,7.6611,7.5600,-20.5800,9.4500
4217,-0.6603,-2.3375,7.7436,4.4800,-20.9300,8.9600
4237,-0.6700,-2.2995,7.6011,10.7100,-21.6300,9.7300
4257,-0.6798,-2.2936,7.6953,12.1100,-19.1800,7.9800
4277,-0.6359,-2.3024,7.7041,16.1000,-22.6100,7.9800
4297,-0.6442,-2.2614,7.6343,15.3300,-20.5100,8.1200
4317,-0.6603,-2.2712,7.6865,9.5900,-20.7200,8.6800
4337,-0.6578,-2.2731,7.6309,7.9100,-21.6300,10.2900
4357,-0.6725,-2.2853,7.7153,4.5500,-22.6800,8.9600
4377,-0.6417,-2.3248,7.6348,4.7600,-24.3600,6.6500
4397,-0.6466,-2.3019,7.6474,7.6300,-20.9300,7.5600
4417,-0.6622,-2.2897,7.6884,11.2000,-16.3800,10.8500
4437,-0.6456,-2.3014,7.6689,14.2800,-18.7600,10.2900
4457,-0.6398,-2.3048,7.6714,17.0800,-16.6600,13.4400
4477,-0.6476,-2.2716,7.6245,14.7700,-18.3400,10.7100
4497,-0.6739,-2.2707,7.6840,8.8900,-17.1500,11.9000
4517,-0.6778,-2.3234,7.7226,9.5900,-21.4200,11.1300
4537,-0.6481,-2.3024,7.6455,10.1500,-22.1900,9.5200
