timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
16,1.1151,-1.9808,7.1643,-100.8700,165.4800,10.4300
36,1.1151,-2.0369,7.3220,-138.1100,262.9900,-4.2700
56,1.0336,-2.0028,7.5513,-165.4800,319.6200,-3.2200
76,0.7715,-2.2594,7.8592,-193.6200,317.7300,-18.6200
96,0.7291,-2.1165,7.6387,-167.9300,255.9200,-14.7700
116,0.6749,-2.0433,8.1169,-142.1000,263.4800,4.2700
136,0.4260,-2.3102,8.4121,-128.6600,183.4700,4.2000
156,0.4343,-2.5049,7.9988,-124.1800,102.9700,-34.9300
176,0.4660,-2.1155,7.8475,-195.0200,116.3400,-30.9400
196,0.4797,-2.3961,8.8030,-277.4800,72.6600,-12.6000
216,0.7247,-2.4864,9.5267,-351.1200,8.7500,66.6400
236,0.7261,-4.3237,10.3066,-493.7800,-2.6600,-24.0100
256,0.6690,-4.1256,11.9648,-487.6200,39.8300,-35.9100
276,-0.0756,-4.2637,14.3906,-173.3900,212.7300,168.7000
296,0.6422,-8.7230,15.9888,31.6400,241.0100,45.9200
316,1.8232,-9.0539,15.9888,253.1200,-170.7300,-105.0000
336,2.6899,-9.5999,15.0626,582.7500,-243.6700,-260.9600
356,2.3566,-8.8587,13.3009,971.3200,-112.4200,-345.2400
376,2.1091,-7.5230,11.5656,1237.6700,-47.2500,-363.8600
396,1.9130,-6.1190,10.3388,1388.6600,129.8500,-278.1800
416,1.1819,-5.3704,9.1798,1494.1500,324.3100,-235.4100
436,0.7828,-4.9517,9.5082,1518.7200,338.5200,-245.4900
456,1.1102,-4.9376,8.9333,1571.2200,169.8200,-279.7200
476,1.4347,-4.0299,7.6982,1640.8000,27.7200,-290.9900
496,1.4733,-2.8075,4.6648,1608.5300,-15.8900,-334.7400
516,1.4001,-1.3991,3.2911,1486.1700,203.0000,-293.0200
536,0.8067,-0.5832,3.6141,1408.7500,433.0900,-199.0100
556,0.2860,-0.1679,4.1773,1381.1000,494.1300,-128.3800
576,0.0303,0.3904,3.4790,1327.6899,520.8700,-101.2200
596,-0.0429,0.7876,3.5707,1285.4100,544.1800,-46.3400
616,-0.2596,0.9453,3.5522,1250.6899,553.9100,-18.2000
636,-0.5407,1.3508,3.3887,1203.5100,595.4200,8.2600
656,-0.6983,1.4367,3.8288,1151.9200,612.0100,57.3300
676,-0.8896,1.7158,4.1978,1145.2700,570.4300,79.5200
696,-0.8208,1.7680,3.9874,1140.3000,479.1500,68.2500
716,-0.8823,2.2453,3.7068,1130.7800,407.9600,49.2100
736,-0.8886,2.4990,3.6239,1149.8900,404.5300,34.2300
756,-0.8111,2.6918,3.5146,1163.7500,366.1700,-5.3200
776,-0.7115,2.6332,3.3330,1191.3300,295.8900,-68.9500
796,-0.6080,2.8572,2.7411,1227.5900,200.7600,-181.1600
816,-0.8340,3.2486,1.7056,1241.7300,133.4900,-311.0100
836,-1.4279,4.3617,0.4626,1233.7500,109.6200,-402.9200
856,-2.1091,5.4466,-0.5944,1183.3500,153.4400,-414.3300
876,-2.8314,6.1210,-0.9658,1141.3500,189.6300,-397.7400
896,-3.2974,7.0311,-1.6514,1058.4700,164.2900,-358.4000
916,-3.5883,7.0823,-2.2482,938.9800,153.5100,-326.9000
936,-3.8113,7.3132,-2.5396,845.0400,93.0300,-375.9700
956,-4.5931,7.8251,-3.5492,760.9000,-29.6800,-427.7000
976,-5.3543,8.7850,-4.7707,642.7400,-192.9900,-457.4500
996,-6.3782,10.2597,-6.4762,469.2100,-297.7800,-439.5300
1016,-6.9433,11.4831,-7.8700,226.1000,-282.0300,-304.1500
1036,-6.9115,11.5798,-8.1047,-47.0400,-298.6200,-136.8500
1056,-6.9101,11.2435,-8.0008,-355.1100,-297.6400,-6.7900
1076,-6.3338,10.4808,-7.5474,-619.9200,-322.9100,95.9700
1096,-6.5382,9.8869,-7.4810,-814.1700,-336.2100,217.4200
1116,-5.6857,8.5483,-6.1161,-1039.8500,-384.0200,281.2600
1136,-4.8273,7.4820,-6.1791,-1200.3600,-388.5000,374.2900
1156,-3.7312,6.5577,-5.2958,-1399.8600,-398.4400,384.7200
1176,-2.6752,5.2724,-4.7844,-1552.6700,-464.2400,386.8200
1196,-1.9915,4.1275,-3.9050,-1717.1700,-469.4900,380.5200
1216,-1.4908,3.4433,-2.7113,-1817.9700,-488.2500,380.9400
1236,-0.8198,1.8461,-1.3884,-1888.4600,-545.6500,375.4100
1256,0.5002,0.5480,0.2464,-1892.4500,-634.9000,317.8700
1276,1.5470,-0.8481,1.4064,-1870.4000,-754.6000,186.4100
1296,1.7353,-1.0067,2.7748,-1836.1000,-715.4000,153.4400
1316,2.0325,-2.3375,4.3408,-1788.1500,-524.1600,190.8900
1336,2.0110,-3.5185,7.3015,-1734.3199,-428.4700,189.3500
1356,2.1911,-4.5496,9.0666,-1595.1600,-464.8000,163.4500
1376,2.2775,-5.1948,9.6009,-1465.7300,-554.5400,71.2600
1396,1.8754,-4.0855,8.8899,-1336.6500,-614.8800,7.7700
1416,1.5767,-3.4570,8.3258,-1331.0500,-542.9900,105.4200
1436,1.8817,-4.7429,8.4224,-1308.7200,-266.9800,228.5500
1456,1.6612,-5.7730,10.9239,-1212.4000,-160.4400,234.4300
1476,1.3215,-5.4119,10.6643,-1185.3101,-317.8000,176.1200
1496,1.8666,-5.0288,8.8616,-1128.1899,-245.1400,218.4000
1516,1.9008,-5.3133,9.4745,-1073.5900,96.6000,276.5700
1536,1.9447,-6.0873,10.9741,-1005.9000,180.9500,195.9300
