timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
1754,-6.6129,-4.2441,1.4489,14.4900,-23.1000,-6.5800
1774,-6.5455,-4.1212,1.3830,15.4700,-28.0700,0.6300
1794,-6.5509,-4.0841,1.3376,16.9400,-28.4200,21.5600
1814,-6.5734,-4.2476,1.3810,15.0500,-21.6300,33.7400
1834,-6.6939,-4.3437,1.3796,16.5200,-21.4200,27.7900
1854,-6.7242,-4.3905,1.3483,13.0200,-13.5800,8.9600
1874,-6.6783,-4.2612,1.3449,7.5600,-6.7900,-6.1600
1894,-6.6363,-4.1270,1.3586,3.1500,-0.8400,-1.8900
1914,-6.6719,-4.0660,1.4211,7.3500,-5.8800,18.6200
1934,-6.7061,-4.2354,1.4630,14.5600,-16.2400,25.8300
1954,-6.7310,-4.3403,1.4567,18.2700,-31.4300,13.5800
1974,-6.6719,-4.2895,1.3874,16.6600,-32.7600,-0.8400
1994,-6.6173,-4.0997,1.3420,13.1600,-24.3600,3.4300
2014,-6.6202,-4.1119,1.3361,14.0000,-17.4300,25.1300
2034,-6.6939,-4.3515,1.4215,11.0600,-20.8600,29.5400
2054,-6.6797,-4.3656,1.4093,12.8800,-24.7100,13.9300
2074,-6.7046,-4.2573,1.3430,7.3500,-19.1100,-0.7700
2094,-6.6607,-4.1236,1.3366,6.6500,-16.1700,7.0000
2114,-6.6441,-4.2027,1.3893,11.6200,-20.6500,21.3500
2134,-6.6597,-4.3022,1.3820,13.2300,-26.2500,15.2600
2154,-6.6871,-4.2744,1.3391,12.4600,-23.8000,10.2200
2174,-6.6514,-4.2583,1.3479,4.7600,-14.4200,2.8700
2194,-6.6041,-4.2153,1.3684,6.3000,-9.1000,-1.4000
2214,-6.6114,-4.0972,1.4113,7.6300,-10.1500,7.7700
2234,-6.6280,-4.1485,1.4269,10.4300,-13.3000,23.4500
2254,-6.6929,-4.2837,1.4591,10.7800,-19.4600,19.5300
2274,-6.6514,-4.2827,1.4313,16.8700,-27.9300,6.4400
2294,-6.6124,-4.1739,1.3698,17.1500,-30.9400,6.8600
2314,-6.6866,-4.1036,1.3083,18.5500,-28.0700,26.1800
2334,-6.7115,-4.2763,1.3405,12.3900,-22.6800,28.7000
2354,-6.6773,-4.3793,1.3918,8.8200,-23.0300,11.2700
2374,-6.6300,-4.2524,1.3220,14.4900,-21.7700,-0.5600
2394,-6.6656,-4.1290,1.2703,18.4100,-10.0100,4.7600
2414,-6.6968,-4.1500,1.3366,1.2600,11.4100,10.2200
2434,-6.6900,-4.1802,1.4952,-1.4700,11.5500,10.1500
2454,-6.6397,-4.1529,1.5606,10.9900,-8.8900,9.6600
2474,-6.6514,-4.1260,1.5684,16.5200,-42.9100,24.0800
2494,-6.6783,-4.1826,1.4098,33.4600,-65.4500,35.4900
2514,-6.6734,-4.2724,1.2649,35.2100,-61.4600,29.4000
2534,-6.7266,-4.2924,1.1400,22.7500,-32.9700,18.2000
2554,-6.6632,-4.2641,1.1761,-5.6000,5.9500,1.9600
2574,-6.6754,-4.1275,1.3298,-1.2600,17.5700,7.2800
2594,-6.7207,-4.1817,1.4816,5.5300,8.1900,21.3500
2614,-6.7037,-4.3120,1.5533,19.1800,-14.7700,11.9000
2634,-6.6690,-4.2251,1.4830,17.9200,-26.9500,0.9100
2654,-6.6383,-4.0733,1.3854,18.8300,-33.6000,8.7500
2674,-6.6446,-4.1051,1.3269,16.3800,-27.4400,26.8100
2694,-6.6910,-4.1963,1.3357,16.9400,-14.7700,25.4100
2714,-6.7598,-4.2485,1.3737,12.8100,-6.3700,15.2600
2734,-6.6710,-4.2539,1.4089,6.7200,-4.8300,-0.4200
2754,-6.6534,-4.1104,1.4313,4.6200,-14.3500,1.8200
2774,-6.7051,-4.0348,1.3996,19.2500,-24.9900,23.9400
2794,-6.7354,-4.2256,1.3586,19.0400,-27.4400,33.6000
2814,-6.7651,-4.3349,1.3679,15.1900,-23.3800,15.5400
2834,-6.7256,-4.2480,1.3596,11.6200,-18.9700,-3.5700
2854,-6.6651,-4.1012,1.3483,7.2800,-14.0000,0.7000
2874,-6.6705,-4.0860,1.3708,8.6800,-9.8700,17.2900
2894,-6.6661,-4.2188,1.4279,14.9100,-12.7400,18.1300
2914,-6.6427,-4.2373,1.4089,13.9300,-15.0500,5.3900
2934,-6.6744,-4.0797,1.3786,8.8900,-14.9800,8.0500
2954,-6.6885,-4.1026,1.3801,12.7400,-18.2700,25.5500
2974,-6.7324,-4.2734,1.3928,26.8100,-26.1800,27.8600
2994,-6.7427,-4.2890,1.3635,14.5600,-22.2600,10.3600
3014,-6.6700,-4.1841,1.3264,14.1400,-16.4500,-0.6300
3034,-6.6183,-4.0655,1.3064,10.1500,-9.2400,10.2900
3054,-6.6900,-4.0753,1.3215,12.3900,-3.7800,25.0600
3074,-6.7627,-4.2007,1.4093,8.2600,-1.7500,21.7000
3094,-6.7671,-4.2534,1.4664,5.6700,-8.8200,8.5400
3114,-6.7407,-4.1426,1.4196,16.5900,-22.6800,2.2400
3134,-6.7188,-4.0445,1.3454,20.8600,-27.0200,10.5700
3154,-6.7046,-4.0763,1.3283,16.5200,-20.9300,22.4000
3174,-6.7100,-4.2036,1.3596,8.5400,-13.0900,18.1300
3194,-6.7227,-4.2324,1.3747,15.5400,-18.5500,10.1500
3214,-6.7251,-4.1519,1.3566,15.1200,-18.9000,4.5500
3234,-6.6797,-4.1358,1.3376,15.8200,-18.7600,9.5200
3254,-6.7032,-4.1212,1.3220,11.9000,-13.4400,12.6000
3274,-6.7266,-4.1338,1.3669,11.3400,-7.1400,15.4000
3294,-6.7481,-4.1817,1.4186,5.3200,-10.3600,15.2600
3314,-6.6885,-4.2236,1.4294,14.7000,-25.1300,11.1300
3334,-6.6934,-4.1412,1.3562,24.1500,-35.2100,11.4100
3354,-6.6934,-4.1578,1.2912,21.2100,-25.5500,15.8200
3374,-6.6690,-4.1656,1.2986,7.4900,-9.1700,4.0600
3394,-6.7456,-4.0499,1.4220,-3.2900,-1.7500,5.9500
3414,-6.7398,-4.0611,1.4835,8.4700,-22.8200,23.0300
3434,-6.6934,-4.1958,1.4611,28.5600,-46.1300,25.2700
3454,-6.7085,-4.2402,1.3108,29.4700,-51.3100,16.5900
3474,-6.7105,-4.1875,1.1888,18.2700,-30.1000,4.9700
3494,-6.6822,-4.1368,1.2283,-3.3600,1.7500,-1.6100
3514,-6.6305,-4.0338,1.3552,-5.4600,17.4300,7.3500
3534,-6.6973,-4.0631,1.4620,3.0800,8.4000,22.9600
3554,-6.7622,-4.2090,1.5123,15.6800,-11.7600,24.2900
3574,-6.7095,-4.2563,1.4669,16.3800,-26.1800,5.1800
3594,-6.6510,-4.0894,1.2507,15.8200,-31.1500,-5.0400
3614,-6.6402,-3.8962,1.2781,12.6000,-24.8500,21.9100
3634,-6.6944,-4.0860,1.2712,16.3800,-16.3100,45.6400
3654,-6.7700,-4.3452,1.2849,13.6500,-9.1000,30.9400
3674,-6.8213,-4.3290,1.2986,11.6200,-5.5300,-2.6600
3694,-6.7525,-4.0909,1.3322,4.4100,-1.2600,-12.1800
3714,-6.7100,-3.9172,1.3596,7.1400,-2.5200,8.6800
3734,-6.7690,-3.9904,1.4089,13.6500,-13.3000,32.4100
3754,-6.8232,-4.2139,1.4123,14.1400,-25.2700,28.2100
3774,-6.8442,-4.2641,1.3508,17.9900,-34.0900,6.6500
3794,-6.7876,-4.1182,1.2610,17.1500,-31.9900,-1.9600
3814,-6.7261,-4.0309,1.2234,13.0200,-17.5000,4.6200
3834,-6.7261,-4.0577,1.2986,4.6900,-5.5300,16.3800
3854,-6.6797,-4.1636,1.3723,5.2500,-4.4800,11.0600
3874,-6.7383,-4.1197,1.4001,7.8400,-14.4200,6.5800
3894,-6.7681,-4.0724,1.3615,15.4000,-24.7800,13.3000
3914,-6.7368,-4.1514,1.3581,19.4600,-28.9100,18.4800
3934,-6.7251,-4.1812,1.3278,15.2600,-26.4600,12.3200
3954,-6.7232,-4.1441,1.2654,18.4800,-21.0000,5.5300
3974,-6.6978,-4.0963,1.2664,10.2900,-12.8100,6.9300
3994,-6.6895,-4.0816,1.3103,5.8800,-2.9400,10.9200
4014,-6.7076,-4.1417,1.3874,6.5100,-1.7500,12.3900
4034,-6.7222,-4.1036,1.4001,7.9100,-7.7000,8.5400
4054,-6.7632,-4.0768,1.4137,13.2300,-19.7400,16.4500
4074,-6.7461,-4.1256,1.3566,18.2000,-29.8200,19.3900
4094,-6.7642,-4.1446,1.3010,22.4700,-32.8300,17.5000
4114,-6.7837,-4.1568,1.2678,14.0700,-21.0700,14.4200
4134,-6.7974,-4.1397,1.2966,12.6000,-14.7700,6.0200
4154,-6.7778,-4.1265,1.3098,9.7300,-9.5900,4.3400
4174,-6.7276,-4.1187,1.3410,10.4300,-8.0500,2.4500
4194,-6.7188,-4.0553,1.4899,8.8200,-9.5900,6.3000
4214,-6.6836,-4.0660,1.3971,5.7400,-15.9600,10.6400
4234,-6.7559,-4.0480,1.3542,16.0300,-24.5700,20.3000
4254,-6.7695,-4.1709,1.3342,15.6100,-26.3200,20.8600
4274,-6.7115,-4.1870,1.3293,9.6600,-24.0100,7.7000
4294,-6.6963,-4.1143,1.2995,12.8100,-20.4400,6.0200
4314,-6.7061,-4.0855,1.2820,13.5800,-13.3000,13.2300
4334,-6.7549,-4.0929,1.3205,8.0500,-1.6800,11.4800
4354,-6.7281,-4.1158,1.3859,2.2400,5.6700,7.4900
4374,-6.6973,-4.0392,1.4991,-3.0100,1.7500,-0.0700
4394,-6.7354,-3.9225,1.5250,8.2600,-26.3900,18.5500
4414,-6.7095,-4.0484,1.4142,27.5800,-57.8200,37.6600
4434,-6.7373,-4.1885,1.2073,33.8800,-61.8800,31.3600
4454,-6.7647,-4.1548,1.0404,17.0800,-32.1300,19.3900
4474,-6.8135,-4.0958,1.0785,-0.5600,2.8000,19.3200
4494,-6.8408,-4.1553,1.3635,-4.2700,18.1300,26.3900
4514,-6.8237,-4.2646,1.3976,2.1700,4.6900,9.2400
4534,-6.7808,-4.1338,1.3874,10.5700,-12.1100,-5.1800
4554,-6.7588,-3.9469,1.2912,14.0700,-17.7800,7.9100
4574,-6.7354,-3.9469,1.3074,5.6000,-17.4300,23.9400
4594,-6.7622,-4.1021,1.3908,11.8300,-23.7300,31.7800
4614,-6.8169,-4.1773,1.3113,18.6200,-28.1400,18.6900
4634,-6.8291,-4.1324,1.2507,13.6500,-20.0200,4.8300
4654,-6.7564,-4.0587,1.2586,4.9000,-7.1400,0.6300
4674,-6.7349,-3.9860,1.3200,-2.3800,-1.7500,7.9800
4694,-6.7237,-3.9816,1.3737,12.4600,-15.3300,22.7500
4714,-6.8266,-4.0968,1.3444,19.1100,-27.0200,30.1000
4734,-6.8315,-4.1914,1.2712,14.7000,-30.2400,18.9700
4754,-6.8359,-4.1675,1.2454,14.7000,-24.8500,7.0700
4774,-6.8061,-4.1168,1.2239,13.9300,-16.1700,-0.7000
4794,-6.7432,-4.0514,1.2542,3.5000,-3.2900,-2.7300
4814,-6.7163,-3.9967,1.3318,3.8500,1.2600,4.9000
4834,-6.7232,-3.9948,1.4089,8.6100,-8.3300,34.0200
4854,-6.7632,-4.1090,1.4064,18.0600,-27.0900,21.6300
4874,-6.7832,-4.1670,1.3396,23.8000,-35.3500,14.0700
4894,-6.7852,-4.0850,1.2542,14.7700,-28.7000,3.4300
4914,-6.7681,-4.0055,1.2327,5.8100,-16.9400,7.4200
4934,-6.6968,-4.0153,1.2712,8.9600,-10.8500,14.0000
4954,-6.7593,-4.0850,1.2864,6.8600,-8.8900,18.1300
4974,-6.7793,-4.1148,1.3039,9.1000,-11.7600,14.2100
4994,-6.7837,-4.1051,1.3444,15.4000,-19.4600,8.6100
