timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
1756,0.6276,-4.3125,9.9752,-976.4300,70.8400,42.1400
1776,-0.2826,-3.9679,10.6345,-913.3600,120.3300,98.9800
1796,-0.5129,-3.8381,9.8532,-891.8000,156.6600,147.9100
1816,-0.4368,-3.6712,8.8523,-890.0500,139.5100,166.1100
1836,-0.5602,-2.8582,6.2098,-841.8200,165.4800,229.1100
1856,-0.4372,-3.3931,6.1464,-919.4500,187.0400,219.2400
1876,-1.0590,-9.8483,15.9888,-35.4200,-1260.3500,-277.0600
1896,-1.0965,-10.9156,15.9888,702.8700,-441.9100,338.3800
1916,2.6454,-3.1281,14.2462,103.4600,-167.7200,160.4400
1936,1.5177,-0.9531,3.2120,-379.0500,190.3300,158.7600
1956,-0.5622,-4.0724,5.4046,-521.0800,453.1100,98.8400
1976,-1.3249,-4.1958,7.6377,-325.7800,369.2500,57.5400
1996,-1.2371,-3.4248,8.1354,-252.8400,10.2900,-5.6000
2016,-0.7159,-4.5979,9.4208,-175.4200,-15.8200,92.6800
2036,-0.1918,-3.9245,8.2355,-201.8100,385.0000,165.6200
2056,-0.9077,-5.4378,11.6271,-127.0500,914.4800,322.8400
2076,-1.1834,-7.0472,15.9888,77.3500,849.1000,405.0900
2096,-1.5694,-9.6263,15.6253,262.8500,712.8800,220.2200
2116,-1.3815,-9.7053,15.9888,403.9700,427.9100,124.3900
2136,-1.0599,-9.1007,15.9888,680.4700,204.1900,27.5800
2156,-3.9020,-9.1305,14.8162,875.4900,303.6600,108.9200
2176,-1.9315,-9.1110,14.9621,1107.6801,325.7800,100.2400
2196,-1.7158,-9.6253,13.7928,1336.5100,244.2300,84.1400
2216,-1.4630,-8.7171,12.3869,1545.1801,106.0500,134.5400
2236,-1.0302,-7.4039,9.1183,1677.9000,21.3500,102.0600
2256,-0.2533,-6.5109,7.0140,1809.3600,111.9300,179.6900
2276,0.2167,-5.9102,6.2825,1879.0100,141.3300,156.5900
2296,0.8140,-5.0166,5.0493,1974.2800,167.9300,136.4300
2316,0.8628,-3.7332,3.5853,1953.5601,236.1800,126.4900
2336,1.1444,-2.9309,3.1417,1928.8500,439.1100,174.1600
2356,0.8652,-3.1071,4.2080,1856.4700,505.4000,132.5800
2376,0.5353,-2.8875,4.1553,1926.9600,494.4100,124.8100
2396,0.2196,-2.2775,3.5595,2023.4900,420.3500,101.0100
2416,0.2582,-1.6973,2.5615,2013.9000,413.5600,75.1800
2436,0.3787,-1.2141,2.0457,2032.3101,404.8800,20.0200
2456,0.5061,-0.9414,1.4420,2043.7900,361.6900,-57.1900
